,Ca,Month,I_ave,I_std,I_sum,Vpack_ave,Vpack_std,Vpack_sum,SOC_ave,SOC_std,SOC_sum,Vmax_ave,Vmax_std,Vmax_sum,Vmin_ave,Vmin_std,Vmin_sum,Tmax_ave,Tmax_std,Tmax_sum,Tmin_ave,Tmin_std,Tmin_sum,Vd_ave,Vd_std,Vd_sum,Td_ave,Td_std,Td_sum
Ca,0.0,0.6362947490049984,0.7040667169368756,0.6726176606326337,0.6748959833648849,0.7573759065932475,0.8132866499025978,0.7807535744411924,0.7588225987931504,0.7223978216851868,0.7839168812476085,0.7595291682360642,0.8114865767260071,0.7809714608449513,0.7524638787299387,0.8059246913595255,0.7811305240385459,0.6546919053582823,0.6890328844174252,0.7470812990348868,0.6565913702444512,0.68058119021607,0.7451287227643424,0.6715666207846741,0.6703418785596864,0.7465551465811262,0.6358954057356512,0.6720408576761304,0.7627421295687516
Month,0.6362947490049984,0.0,0.6256419862165946,0.6195387316109675,0.6202795567665114,0.6081106562212496,0.6140495438442717,0.6893357574102297,0.6248393411659497,0.6425381200208881,0.6849415771940677,0.6139128685053705,0.6217370356557258,0.6878872094474803,0.6096830634063107,0.615509123325756,0.68701518797343,0.6410777452362134,0.6315769479009871,0.6983673837147913,0.6290245604205633,0.6370086445956132,0.6984441776239566,0.6316568741916347,0.6619462351397696,0.6808144090834551,0.682774903192562,0.6652606732475775,0.6871456980665427
I_ave,0.7040667169368756,0.6256419862165946,0.0,0.8273286778438501,0.747151076876801,0.7782511263520535,0.7657930942292895,0.7421028998718073,0.7811993758724529,0.708915270162209,0.7460343076736803,0.7628545308336814,0.7688800303517531,0.7424033304860936,0.7787311111747016,0.7879931780065166,0.7424005220490041,0.6319747466248141,0.7442652132825828,0.7563641744820304,0.6330225958011847,0.7395505834400743,0.7568903875274712,0.6685000123286676,0.7399327082682674,0.7461151192932121,0.6854331432771129,0.7576353770227827,0.7476021608171457
I_std,0.6726176606326337,0.6195387316109675,0.8273286778438501,0.0,0.7449094514372578,0.750126441653221,0.7262387325491348,0.660198343221628,0.7686895280044436,0.6122471126964517,0.6545507811391591,0.7294092521277958,0.7269249592908742,0.6592667946710012,0.7540012961267463,0.7569104170564784,0.6601906802385439,0.6325200970708788,0.7535050115962353,0.7044899650310084,0.6347889837022699,0.7410044507911784,0.7039649987947407,0.6355653185057949,0.7308833334398729,0.6808860186026022,0.647083060889283,0.7124519951368096,0.678540484030566
I_sum,0.6748959833648849,0.6202795567665114,0.747151076876801,0.7449094514372578,0.0,0.7055335447054005,0.6946854250113945,0.6823273525157207,0.7633081718081095,0.6637348304728875,0.681135019373788,0.6966254988493512,0.7055384387024396,0.6819302494272057,0.6979400542683954,0.7003935314824645,0.6832357641054809,0.6404404102721171,0.7719190491619304,0.6975816082951402,0.6405321910914906,0.7612797708026666,0.6986416158593842,0.6912478837278373,0.7359760934524586,0.6915742412710632,0.67900724744315,0.7499167367952684,0.6776582967871266
Vpack_ave,0.7573759065932475,0.6081106562212496,0.7782511263520535,0.750126441653221,0.7055335447054005,0.0,0.7955863000117177,0.723807345175432,0.6649305744880037,0.7378305143595612,0.72755567502432,0.5283339669288843,0.7913490562115366,0.7227178701155059,0.6490747501206114,0.8049660697823153,0.7246270628913052,0.6006996235025155,0.7693202281536944,0.7102061812768627,0.6026026244711791,0.7707015743695006,0.7088316686263244,0.6686209534315393,0.7125590022055178,0.7332757475856896,0.7199105615747278,0.7715011192990824,0.7275336329607042
Vpack_std,0.8132866499025978,0.6140495438442717,0.7657930942292895,0.7262387325491348,0.6946854250113945,0.7955863000117177,0.0,0.7807880360692036,0.7717125052756981,0.7696841539976033,0.7895777579751532,0.8022706806504395,0.7152179008801646,0.7804480631647945,0.7939477142619528,0.5972396487593967,0.7819110465671831,0.670586733541984,0.6818508737623639,0.7421058941341875,0.6658770413388881,0.6917188248553683,0.7391824777560984,0.6886249252542935,0.654648730245218,0.7550458154158134,0.7262376106131796,0.688770434666625,0.7636245904598882
Vpack_sum,0.7807535744411924,0.6893357574102297,0.7421028998718073,0.660198343221628,0.6823273525157207,0.723807345175432,0.7807880360692036,0.0,0.7452792751533248,0.7857949435157977,0.7495619842586837,0.7255261659421045,0.7784799631856765,0.641185597758272,0.7205096353546253,0.7792932244907453,0.6402419312987812,0.6750543284239413,0.7111434501659466,0.7151005875093384,0.6806688968172484,0.7166800465495866,0.7172792713274976,0.7150240837750661,0.6817282502236816,0.795263252806564,0.7680151116688456,0.7355452708845692,0.7106662381000175
SOC_ave,0.7588225987931504,0.6248393411659497,0.7811993758724529,0.7686895280044436,0.7633081718081095,0.6649305744880037,0.7717125052756981,0.7452792751533248,0.0,0.7438935922708203,0.7452105567748458,0.5833925969557402,0.7722128225002609,0.7454981675040243,0.6711185415514689,0.7767605025702644,0.745773648276289,0.5991666578313368,0.8116581658889058,0.7352044844622942,0.6080306968122883,0.805779712943524,0.7350857536194902,0.6518758021018686,0.7558075180191193,0.7567284283350786,0.7308112837017077,0.813676259828054,0.7494962544059641
SOC_std,0.7223978216851868,0.6425381200208881,0.708915270162209,0.6122471126964517,0.6637348304728875,0.7378305143595612,0.7696841539976033,0.7857949435157977,0.7438935922708203,0.0,0.7871915564777319,0.7500622927928027,0.7615642855989593,0.7859324273303164,0.737098501254423,0.722243858436517,0.7853128602338009,0.7008359381633578,0.6423850429793294,0.7487366327217936,0.6947652841608245,0.660036346627215,0.7445921049515429,0.7261928164148707,0.6325879131477355,0.7732635622220215,0.7543540115338768,0.6780541091340706,0.7635027710301009
SOC_sum,0.7839168812476085,0.6849415771940677,0.7460343076736803,0.6545507811391591,0.681135019373788,0.72755567502432,0.7895777579751532,0.7495619842586837,0.7452105567748458,0.7871915564777319,0.0,0.734501317845561,0.786402745966485,0.7462293899078085,0.722966133107209,0.7860783121957943,0.746916630637059,0.6750563876107302,0.7081182870616045,0.6850357985190852,0.6805703312305943,0.7154203835433615,0.6891031911679695,0.7139880331119207,0.6757319489938871,0.7924287435705635,0.7679698956245102,0.7345463324375305,0.7268525170162119
Vmax_ave,0.7595291682360642,0.6139128685053705,0.7628545308336814,0.7294092521277958,0.6966254988493512,0.5283339669288843,0.8022706806504395,0.7255261659421045,0.5833925969557402,0.7500622927928027,0.734501317845561,0.0,0.7986039432154518,0.725941998760895,0.58784029980281,0.805060667025932,0.7262422247639478,0.6137262058945823,0.7628969605103183,0.7036150654816461,0.6113249218269887,0.7657592905050664,0.7020519596566821,0.6661789842362136,0.7036121708929353,0.7324789457297982,0.7299783277814407,0.7630368328640149,0.7264575656357037
Vmax_std,0.8114865767260071,0.6217370356557258,0.7688800303517531,0.7269249592908742,0.7055384387024396,0.7913490562115366,0.7152179008801646,0.7784799631856765,0.7722128225002609,0.7615642855989593,0.786402745966485,0.7986039432154518,0.0,0.7783510989111115,0.7910014296079666,0.6417467134114287,0.7785336141371353,0.6739262068464043,0.6801559879884473,0.7385437717341041,0.6682115371273998,0.6884771131865085,0.7365642766320538,0.6828830252890017,0.6573668818000813,0.7512277319140025,0.736354561842638,0.6872052352503807,0.7626051030698205
Vmax_sum,0.7809714608449513,0.6878872094474803,0.7424033304860936,0.6592667946710012,0.6819302494272057,0.7227178701155059,0.7804480631647945,0.641185597758272,0.7454981675040243,0.7859324273303164,0.7462293899078085,0.725941998760895,0.7783510989111115,0.0,0.7219304061848708,0.7792470491511131,0.6117775073188874,0.6751389452259655,0.7109498033639786,0.7147570873860537,0.6803447380071739,0.7165139073651574,0.7168489678447753,0.7148289485109504,0.6814530994217405,0.7956363314599991,0.768080091637201,0.7349808993226598,0.7099293111482582
Vmin_ave,0.7524638787299387,0.6096830634063107,0.7787311111747016,0.7540012961267463,0.6979400542683954,0.6490747501206114,0.7939477142619528,0.7205096353546253,0.6711185415514689,0.737098501254423,0.722966133107209,0.58784029980281,0.7910014296079666,0.7219304061848708,0.0,0.8064610607905383,0.7211996115735358,0.6144622947316116,0.7664490100977173,0.7061223216239203,0.6111437225535581,0.7684655403781525,0.7059668137498254,0.6683901790314535,0.7058767406345079,0.7253047720480305,0.7182052380941049,0.7653898871575262,0.7258145001061206
Vmin_std,0.8059246913595255,0.615509123325756,0.7879931780065166,0.7569104170564784,0.7003935314824645,0.8049660697823153,0.5972396487593967,0.7792932244907453,0.7767605025702644,0.722243858436517,0.7860783121957943,0.805060667025932,0.6417467134114287,0.7792470491511131,0.8064610607905383,0.0,0.7797989598989252,0.6655270962100175,0.6905141049863589,0.7491686368881777,0.6558616651450785,0.7000399901467841,0.7479293516859707,0.6775184010770422,0.6642261344130022,0.753479958802182,0.7161340862695067,0.6789350282143882,0.7626680529334983
Vmin_sum,0.7811305240385459,0.68701518797343,0.7424005220490041,0.6601906802385439,0.6832357641054809,0.7246270628913052,0.7819110465671831,0.6402419312987812,0.745773648276289,0.7853128602338009,0.746916630637059,0.7262422247639478,0.7785336141371353,0.6117775073188874,0.7211996115735358,0.7797989598989252,0.0,0.6750676552248361,0.7114570847654517,0.7149717519818111,0.6808763650093078,0.7169188760149825,0.7172025455161531,0.7141064293911197,0.68128915944867,0.7945128291375008,0.7684022799276828,0.7359963694841554,0.7107688652157051
Tmax_ave,0.6546919053582823,0.6410777452362134,0.6319747466248141,0.6325200970708788,0.6404404102721171,0.6006996235025155,0.670586733541984,0.6750543284239413,0.5991666578313368,0.7008359381633578,0.6750563876107302,0.6137262058945823,0.6739262068464043,0.6751389452259655,0.6144622947316116,0.6655270962100175,0.6750676552248361,0.0,0.6227877532007862,0.7071464526829195,0.699183571738359,0.6207955108723833,0.7071428743479539,0.666868531640966,0.643063585322146,0.6831892822907468,0.7069812810761855,0.6290084844540745,0.684386021922465
Tmax_std,0.6890328844174252,0.6315769479009871,0.7442652132825828,0.7535050115962353,0.7719190491619304,0.7693202281536944,0.6818508737623639,0.7111434501659466,0.8116581658889058,0.6423850429793294,0.7081182870616045,0.7628969605103183,0.6801559879884473,0.7109498033639786,0.7664490100977173,0.6905141049863589,0.7114570847654517,0.6227877532007862,0.0,0.715498226694655,0.6117284261696484,0.7301610213126012,0.7159141418483419,0.6673157764342356,0.730863485941766,0.7350646663574694,0.7155277205397226,0.7671200580184687,0.7190830819693805
Tmax_sum,0.7470812990348868,0.6983673837147913,0.7563641744820304,0.7044899650310084,0.6975816082951402,0.7102061812768627,0.7421058941341875,0.7151005875093384,0.7352044844622942,0.7487366327217936,0.6850357985190852,0.7036150654816461,0.7385437717341041,0.7147570873860537,0.7061223216239203,0.7491686368881777,0.7149717519818111,0.7071464526829195,0.715498226694655,0.0,0.7066660393043478,0.7146688550078286,0.7577541639096652,0.6912107330226694,0.7176221814107197,0.7239912350015014,0.7471435734536749,0.748953492519484,0.7687069377259346
Tmin_ave,0.6565913702444512,0.6290245604205633,0.6330225958011847,0.6347889837022699,0.6405321910914906,0.6026026244711791,0.6658770413388881,0.6806688968172484,0.6080306968122883,0.6947652841608245,0.6805703312305943,0.6113249218269887,0.6682115371273998,0.6803447380071739,0.6111437225535581,0.6558616651450785,0.6808763650093078,0.699183571738359,0.6117284261696484,0.7066660393043478,0.0,0.6108386379765273,0.7065479980773482,0.6692811550377729,0.6386543288640905,0.6864755244625518,0.7084362205532512,0.6273099855439774,0.6863393053337625
Tmin_std,0.68058119021607,0.6370086445956132,0.7395505834400743,0.7410044507911784,0.7612797708026666,0.7707015743695006,0.6917188248553683,0.7166800465495866,0.805779712943524,0.660036346627215,0.7154203835433615,0.7657592905050664,0.6884771131865085,0.7165139073651574,0.7684655403781525,0.7000399901467841,0.7169188760149825,0.6207955108723833,0.7301610213126012,0.7146688550078286,0.6108386379765273,0.0,0.7149489528256777,0.6853846995470975,0.7220380335448131,0.7398185674392808,0.7293066040955057,0.7608659791004652,0.7240295855329467
Tmin_sum,0.7451287227643424,0.6984441776239566,0.7568903875274712,0.7039649987947407,0.6986416158593842,0.7088316686263244,0.7391824777560984,0.7172792713274976,0.7350857536194902,0.7445921049515429,0.6891031911679695,0.7020519596566821,0.7365642766320538,0.7168489678447753,0.7059668137498254,0.7479293516859707,0.7172025455161531,0.7071428743479539,0.7159141418483419,0.7577541639096652,0.7065479980773482,0.7149489528256777,0.0,0.6894539071433681,0.720432638829323,0.7190249722549575,0.7438816469323389,0.7509053522010327,0.7685537246271799
Vd_ave,0.6715666207846741,0.6316568741916347,0.6685000123286676,0.6355653185057949,0.6912478837278373,0.6686209534315393,0.6886249252542935,0.7150240837750661,0.6518758021018686,0.7261928164148707,0.7139880331119207,0.6661789842362136,0.6828830252890017,0.7148289485109504,0.6683901790314535,0.6775184010770422,0.7141064293911197,0.666868531640966,0.6673157764342356,0.6912107330226694,0.6692811550377729,0.6853846995470975,0.6894539071433681,0.0,0.6165247073034479,0.7542321270271315,0.7198209662668291,0.664685542659886,0.701362931992145
Vd_std,0.6703418785596864,0.6619462351397696,0.7399327082682674,0.7308833334398729,0.7359760934524586,0.7125590022055178,0.654648730245218,0.6817282502236816,0.7558075180191193,0.6325879131477355,0.6757319489938871,0.7036121708929353,0.6573668818000813,0.6814530994217405,0.7058767406345079,0.6642261344130022,0.68128915944867,0.643063585322146,0.730863485941766,0.7176221814107197,0.6386543288640905,0.7220380335448131,0.720432638829323,0.6165247073034479,0.0,0.6666958065928066,0.6377035448908175,0.7159818272952281,0.6961933898256123
Vd_sum,0.7465551465811262,0.6808144090834551,0.7461151192932121,0.6808860186026022,0.6915742412710632,0.7332757475856896,0.7550458154158134,0.795263252806564,0.7567284283350786,0.7732635622220215,0.7924287435705635,0.7324789457297982,0.7512277319140025,0.7956363314599991,0.7253047720480305,0.753479958802182,0.7945128291375008,0.6831892822907468,0.7350646663574694,0.7239912350015014,0.6864755244625518,0.7398185674392808,0.7190249722549575,0.7542321270271315,0.6666958065928066,0.0,0.7661662213176035,0.7543545004481065,0.7562663290925625
Td_ave,0.6358954057356512,0.682774903192562,0.6854331432771129,0.647083060889283,0.67900724744315,0.7199105615747278,0.7262376106131796,0.7680151116688456,0.7308112837017077,0.7543540115338768,0.7679698956245102,0.7299783277814407,0.736354561842638,0.768080091637201,0.7182052380941049,0.7161340862695067,0.7684022799276828,0.7069812810761855,0.7155277205397226,0.7471435734536749,0.7084362205532512,0.7293066040955057,0.7438816469323389,0.7198209662668291,0.6377035448908175,0.7661662213176035,0.0,0.6796673401777699,0.7741235634490609
Td_std,0.6720408576761304,0.6652606732475775,0.7576353770227827,0.7124519951368096,0.7499167367952684,0.7715011192990824,0.688770434666625,0.7355452708845692,0.813676259828054,0.6780541091340706,0.7345463324375305,0.7630368328640149,0.6872052352503807,0.7349808993226598,0.7653898871575262,0.6789350282143882,0.7359963694841554,0.6290084844540745,0.7671200580184687,0.748953492519484,0.6273099855439774,0.7608659791004652,0.7509053522010327,0.664685542659886,0.7159818272952281,0.7543545004481065,0.6796673401777699,0.0,0.7454920027391841
Td_sum,0.7627421295687516,0.6871456980665427,0.7476021608171457,0.678540484030566,0.6776582967871266,0.7275336329607042,0.7636245904598882,0.7106662381000175,0.7494962544059641,0.7635027710301009,0.7268525170162119,0.7264575656357037,0.7626051030698205,0.7099293111482582,0.7258145001061206,0.7626680529334983,0.7107688652157051,0.684386021922465,0.7190830819693805,0.7687069377259346,0.6863393053337625,0.7240295855329467,0.7685537246271799,0.701362931992145,0.6961933898256123,0.7562663290925625,0.7741235634490609,0.7454920027391841,0.0
